="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Willingness",="0.00888",="0.0616",="0.0105",="0.0519",="",="",="",=""
="",="(0.801)",="(0.00270)",="(0.769)",="(0.00985)",="",="",="",=""
="",="",="",="",="",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.0737",="-0.0529",="0.115",="0.0237"
="",="",="",="",="",="(0.489)",="(0.456)",="(0.157)",="(0.509)"
="",="",="",="",="",="",="",="",=""
="Wall quality",="",="",="0.00146",="0.0167",="0.0173",="0.0307",="-0.00375",="0.0297"
="",="",="",="(0.962)",="(0.188)",="(0.627)",="(0.223)",="(0.937)",="(0.0977)"
="",="",="",="",="",="",="",="",=""
="Roof quality",="",="",="0.0177",="0.00571",="0.0359",="0.00511",="0.0819",="-0.00362"
="",="",="",="(0.474)",="(0.299)",="(0.0605)",="(0.436)",="(0.000000113)",="(0.159)"
="",="",="",="",="",="",="",="",=""
="Erosion threat",="",="",="0.0145",="-0.0256",="0.0368",="0.0266",="0.0632",="-0.0260"
="",="",="",="(0.630)",="(0.00226)",="(0.392)",="(0.420)",="(0.320)",="(0.155)"
="",="",="",="",="",="",="",="",=""
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="394",="500",="394",="433",="296",="296",="280",="281"
="Clusters",="50",="50",="50",="50",="67",="67",="68",="68"
="Mean",=".357",=".062",=".357",=".066",=".449",=".112",=".413",=".061"
